1216,648,1282,647,1283,707,1217,708,Socket_Connection
1454,64,1549,75,1539,161,1444,150,Pitot_Tube_Type_Flow
1476,713,1572,725,1559,822,1463,810,Shared_Indicator_2
98,751,224,768,211,868,85,851,Unit_Control_Panel
291,434,364,440,358,515,285,509,Level_Recorder
1722,721,1802,702,1819,776,1739,795,V-cone_Meter
584,121,724,147,707,236,567,210,Turbine_Meter
1147,348,1221,354,1210,493,1136,487,Diaphram_Meter
1042,595,1142,615,1125,702,1025,682,Behind_Control
736,891,844,912,833,972,725,951,Rotometer
162,971,247,960,255,1020,170,1031,Computer
