174,772,274,753,293,847,193,866,Indicator
1580,512,1687,536,1665,631,1558,607,Flow_Recorder
1478,897,1551,889,1559,958,1486,966,Indicator_3
164,498,215,506,207,557,156,549,Flow_Indicator
940,486,1015,502,999,577,924,561,Level_Controller
1397,216,1477,232,1462,303,1382,287,Flow_Recorder
1374,939,1438,936,1441,1000,1377,1003,Wedge_Meter
382,802,438,809,431,859,375,852,On_Local_Control_Pane
393,582,511,551,538,651,420,682,Flume_Meter
286,235,426,245,421,326,281,316,Diaphram_Meter
718,792,815,769,839,871,742,894,Steam_Traced
1177,858,1298,862,1294,973,1173,969,Indicator
465,99,590,93,596,226,471,232,And_Gate
954,844,1047,838,1051,907,958,913,Not_Gate
1515,777,1605,776,1606,848,1516,849,Computer_Indicator
1153,523,1263,510,1274,608,1164,621,Averaging_Pitot_Tube
129,337,218,323,232,410,143,424,Level_Controller
515,816,631,836,610,949,494,929,Correcting_Element
883,618,922,621,918,683,879,680,Quick_Change
