1612,716,1709,699,1721,769,1624,786,Unit_Control_Panel
1423,593,1505,577,1522,662,1440,678,Weir_Meter
808,704,868,697,875,757,815,764,Programmable_Indicator
591,437,719,426,730,546,602,557,Sampler
995,84,1103,94,1092,215,984,205,Flume_Meter
853,517,975,500,992,620,870,637,Sampler
361,616,425,614,426,679,362,681,Flow_Controller
839,136,936,161,916,239,819,214,Socket_Connection
1150,680,1259,678,1263,825,1154,827,Level_Meter
217,599,291,611,268,748,194,736,Rotary_Meter
128,906,220,905,221,965,129,966,Rotometer
1045,880,1104,874,1114,973,1055,979,Venturi
