1374,517,1507,517,1507,606,1374,606,Computer
124,184,172,184,172,260,124,260,Quick_Change
407,652,486,652,486,727,407,727,V-cone_Meter
1089,373,1196,373,1196,483,1089,483,Pressure_Controller
556,464,675,464,675,544,556,544,Computer
1045,560,1193,560,1193,693,1045,693,Flow_Recorder
1688,554,1823,554,1823,692,1688,692,On_Central_Control
1461,715,1602,715,1602,850,1461,850,Transducer
1393,150,1512,150,1512,272,1393,272,Pressure_Indicating
544,119,625,119,625,190,544,190,Behind_a_Local_Control
1088,133,1217,133,1217,249,1088,249,Level_Transmitter
1588,269,1705,269,1705,359,1588,359,Flowmeter
716,258,796,258,796,308,716,308,Turbine_Meter
503,865,640,865,640,999,503,999,Level_Recorder
728,749,868,749,868,843,728,843,Unit_Control_Panel
775,460,914,460,914,601,775,601,Flow_Controller
292,932,360,932,360,1000,292,1000,Level_Controller
