207,575,313,575,313,669,207,669,Level_Alarm
594,156,710,156,710,261,594,261,Indicator
1485,535,1585,535,1585,637,1485,637,Flow_Controller
332,267,465,267,465,386,332,386,Level_Transmitter
1125,592,1223,592,1223,681,1125,681,Flow_Recorder
814,135,864,135,864,186,814,186,Indicator_3
799,577,922,577,922,703,799,703,Indicator_3
528,829,635,829,635,930,528,930,V-cone_Meter
853,805,960,805,960,920,853,920,Flow_Indicator
389,481,494,481,494,561,389,561,Flowmeter
1249,278,1391,278,1391,374,1249,374,Unit_Control_Panel
1573,319,1635,319,1635,377,1573,377,Level_Indicator
1602,786,1675,786,1675,861,1602,861,On_Central_Control
1386,918,1460,918,1460,984,1386,984,Averaging_Pitot_Tube
470,627,529,627,529,713,470,713,Pressure_Gauge
1158,802,1244,802,1244,890,1158,890,Flow_Controller
240,749,388,749,388,879,240,879,On_Local_Control_Pane
1668,542,1766,542,1766,642,1668,642,Flow_Controller
1672,113,1797,113,1797,235,1672,235,Level_Recorder
