993,746,1126,746,1126,828,993,828,Rotary_Meter
1272,242,1404,242,1404,360,1272,360,Level_Transmitter
1506,497,1614,497,1614,563,1506,563,Flow_Nozzle_Meter
1134,460,1262,460,1262,565,1134,565,Socket_Connection
1613,817,1676,817,1676,916,1613,916,Quick_Change
159,829,222,829,222,886,159,886,Correcting_Element
1213,707,1269,707,1269,750,1213,750,Flowmeter
674,217,768,217,768,307,674,307,Or_Gate
1539,148,1689,148,1689,298,1539,298,Level_Controller
492,767,547,767,547,816,492,816,Not_Gate
505,429,633,429,633,507,505,507,Flow_Nozzle_Meter
863,301,1007,301,1007,448,863,448,And_Gate
466,159,545,159,545,233,466,233,Computer_Indicator
160,322,212,322,212,371,160,371,Sampler
758,589,897,589,897,683,758,683,Unit_Control_Panel
790,828,911,828,911,902,790,902,Flow_Nozzle_Meter
135,160,187,160,187,214,135,214,Pressure_Controller
258,473,377,473,377,575,258,575,Weir_Meter
1356,819,1489,819,1489,952,1356,952,Programmable_Indicator
