488,561,568,557,571,646,491,650,Shared_Indicator_2
838,807,980,817,973,924,831,914,Correcting_Element
1455,64,1590,39,1612,163,1477,188,Flow_Element
1219,524,1315,515,1320,573,1224,582,Flow_Nozzle_Meter
134,453,263,432,275,506,146,527,Pressure_Gauges
219,647,332,634,340,702,227,715,Rotometer
892,162,986,175,969,303,875,290,Level_Meter
1616,503,1727,532,1703,624,1592,595,Specialty_Item
1352,248,1421,243,1429,345,1360,350,Pressure_Gauge
445,429,551,401,566,460,460,488,Diaphram_Meter
372,904,453,883,467,939,386,960,Pressure_Gauges
1033,807,1098,805,1100,874,1035,876,Coriolis_Flow_Sensor
1643,883,1695,897,1682,946,1630,932,Transducer
605,802,688,792,702,911,619,921,Rotary_Meter
724,425,831,419,837,542,730,548,Averaging_Pitot_Tube
